date,count
2017-01-01,50
2017-01-02,18
2017-01-03,27
2017-01-04,33
2017-01-05,16
2017-01-06,14
2017-01-07,22
2017-01-08,39
2017-01-09,26
2017-01-10,24
2017-01-11,19
2017-01-12,16
2017-01-13,23
2017-01-14,16
2017-01-15,14
2017-01-16,29
2017-01-17,29
2017-01-18,25
2017-01-19,8
2017-01-20,31
2017-01-21,41
2017-01-22,22
2017-01-23,1
2017-01-24,28
2017-01-25,43
2017-01-26,11
2017-01-27,53
2017-01-28,37
2017-01-29,23
2017-01-30,12
2017-01-31,8
2017-02-01,51
2017-02-02,21
2017-02-03,11
2017-02-04,9
2017-02-05,39
2017-02-06,18
2017-02-07,7
2017-02-08,4
2017-02-09,12
2017-02-10,19
2017-02-11,12
2017-02-12,19
2017-02-13,16
2017-02-14,21
2017-02-15,15
2017-02-16,11
2017-02-17,15
2017-02-18,23
2017-02-19,11
2017-02-20,10
2017-02-21,13
2017-02-22,7
2017-02-23,10
2017-02-24,6
2017-02-25,23
2017-02-26,12
2017-02-27,5
2017-02-28,12
2017-03-01,16
2017-03-02,3
2017-03-03,7
2017-03-04,16
2017-03-05,29
2017-03-06,26
2017-03-07,13
2017-03-08,10
2017-03-09,7
2017-03-10,20
2017-03-11,30
2017-03-12,16
2017-03-13,16
2017-03-14,14
2017-03-15,10
2017-03-16,9
2017-03-17,17
2017-03-18,7
2017-03-19,6
2017-03-20,8
2017-03-21,22
2017-03-22,12
2017-03-23,8
2017-03-24,4
2017-03-25,16
2017-03-26,29
2017-03-27,22
2017-03-28,7
2017-03-29,7
2017-03-30,13
2017-03-31,15
2017-04-01,14
2017-04-02,20
2017-04-03,16
2017-04-04,19
2017-04-05,16
2017-04-06,5
2017-04-07,6
2017-04-08,4
2017-04-09,26
2017-04-10,18
2017-04-11,23
2017-04-12,13
2017-04-13,6
2017-04-14,19
2017-04-15,3
2017-04-16,25
2017-04-17,14
2017-04-18,9
2017-04-19,10
2017-04-20,3
2017-04-21,14
2017-04-22,13
2017-04-23,28
2017-04-24,19
2017-04-25,5
2017-04-26,13
2017-04-27,12
2017-04-28,7
2017-04-29,2
2017-04-30,23
2017-05-01,25
2017-05-02,30
2017-05-03,3
2017-05-04,12
2017-05-05,21
2017-05-06,5
2017-05-07,34
2017-05-08,17
2017-05-09,32
2017-05-10,13
2017-05-11,6
2017-05-12,16
2017-05-13,17
2017-05-14,15
2017-05-15,9
2017-05-16,34
2017-05-17,17
2017-05-18,16
2017-05-19,20
2017-05-20,2
2017-05-21,19
2017-05-22,20
2017-05-23,8
2017-05-24,12
2017-05-25,7
2017-05-26,23
2017-05-27,31
2017-05-28,38
2017-05-29,29
2017-05-30,12
2017-05-31,3
2017-06-01,12
2017-06-02,14
2017-06-03,29
2017-06-04,20
2017-06-05,23
2017-06-06,21
2017-06-07,17
2017-06-08,14
2017-06-09,19
2017-06-10,17
2017-06-11,15
2017-06-12,18
2017-06-13,20
2017-06-14,3
2017-06-15,12
2017-06-16,4
2017-06-17,49
2017-06-18,22
2017-06-19,26
2017-06-20,13
2017-06-21,29
2017-06-22,19
2017-06-23,22
2017-06-24,17
2017-06-25,20
2017-06-26,11
2017-06-27,11
2017-06-28,11
2017-06-29,7
2017-06-30,15
2017-07-01,12
2017-07-02,25
2017-07-03,25
2017-07-04,16
2017-07-05,21
2017-07-06,7
2017-07-07,27
2017-07-08,18
2017-07-09,10
2017-07-10,19
2017-07-11,17
2017-07-12,13
2017-07-13,15
2017-07-14,11
2017-07-15,31
2017-07-16,6
2017-07-17,27
2017-07-18,7
2017-07-19,33
2017-07-20,9
2017-07-21,23
2017-07-22,19
2017-07-23,11
2017-07-24,16
2017-07-25,36
2017-07-26,14
2017-07-27,8
2017-07-28,28
2017-07-29,24
2017-07-30,15
2017-07-31,11
2017-08-01,20
2017-08-02,38
2017-08-03,11
2017-08-04,13
2017-08-05,38
2017-08-06,25
2017-08-07,34
2017-08-08,19
2017-08-09,7
2017-08-10,7
2017-08-11,22
2017-08-12,41
2017-08-13,25
2017-08-14,19
2017-08-15,20
2017-08-16,16
2017-08-17,12
2017-08-18,29
2017-08-19,20
2017-08-20,12
2017-08-21,16
2017-08-22,13
2017-08-23,21
2017-08-24,19
2017-08-25,8
2017-08-26,35
2017-08-27,20
2017-08-28,25
2017-08-29,10
2017-08-30,14
2017-08-31,5
2017-09-01,34
2017-09-02,11
2017-09-03,27
2017-09-04,24
2017-09-05,16
2017-09-06,13
2017-09-07,10
2017-09-08,17
2017-09-09,5
2017-09-10,31
2017-09-11,23
2017-09-12,13
2017-09-13,5
2017-09-14,14
2017-09-15,10
